@relation phishing

@attribute url_length numeric
@attribute domain_length numeric
@attribute subdomain_count numeric
@attribute has_https {0,1}
@attribute has_suspicious_tokens {0,1}
@attribute special_char_count numeric
@attribute digit_count numeric
@attribute path_length numeric
@attribute label {legitimate,phishing}

@data
23,16,0,0,1,1,0,0,phishing
25,11,0,1,0,0,0,6,legitimate
54,20,0,0,1,1,12,7,phishing
22,9,0,1,0,0,0,5,legitimate
26,19,0,0,1,1,2,0,phishing
24,11,0,1,0,0,0,5,legitimate
18,10,0,1,0,0,0,0,legitimate
23,16,0,0,1,1,0,0,phishing
18,10,0,1,0,0,0,0,legitimate
50,15,0,0,1,1,12,8,phishing
22,15,0,0,1,1,0,0,phishing
25,12,0,1,0,0,0,5,legitimate
25,11,0,1,0,0,0,6,legitimate
26,19,0,0,1,1,0,0,phishing
26,19,0,0,1,1,3,0,phishing
26,13,0,1,0,0,0,5,legitimate
25,9,0,1,0,0,0,8,legitimate
24,11,0,1,0,0,0,5,legitimate
35,20,0,0,1,1,3,8,phishing
24,17,0,0,1,1,0,0,phishing
29,17,0,0,0,0,0,5,legitimate
30,17,0,1,0,0,0,5,legitimate
25,11,0,1,0,0,0,6,legitimate
50,17,0,0,1,1,14,6,phishing
20,12,0,1,0,0,0,0,legitimate
24,17,0,0,1,1,3,0,phishing
30,16,0,0,1,1,0,7,phishing
23,9,0,1,0,0,0,6,legitimate
27,11,0,1,0,0,0,8,legitimate
15,7,0,1,0,0,0,0,legitimate
24,11,0,1,0,0,0,5,legitimate
23,16,0,0,1,1,2,0,phishing
27,11,0,1,0,0,0,8,legitimate
38,16,0,0,1,1,0,15,phishing
23,7,0,1,0,0,0,8,legitimate
23,9,0,1,0,0,0,6,legitimate
23,16,0,0,1,1,0,0,phishing
26,12,0,1,0,0,0,6,legitimate
24,11,0,1,0,0,0,5,legitimate
24,11,0,1,0,0,0,5,legitimate
33,17,0,1,0,0,0,8,legitimate
20,7,0,1,0,0,0,5,legitimate
29,12,0,1,0,0,0,9,legitimate
27,11,0,1,0,0,0,8,legitimate
26,19,0,0,1,1,3,0,phishing
33,11,0,0,1,0,1,15,phishing
23,16,0,0,1,1,0,0,phishing
24,11,0,1,0,0,0,5,legitimate
26,19,0,0,1,1,0,0,phishing
50,17,0,0,1,1,13,6,phishing
24,10,0,1,0,0,0,6,legitimate
24,17,0,0,1,1,3,0,phishing
23,10,0,1,0,0,0,5,legitimate
26,19,1,0,1,1,0,0,phishing
25,11,0,1,0,0,0,6,legitimate
24,17,0,0,1,1,3,0,phishing
25,9,0,1,0,0,0,8,legitimate
26,13,0,1,0,0,0,5,legitimate
57,15,0,0,1,1,9,15,phishing
21,7,0,1,0,0,0,6,legitimate
21,7,0,1,0,0,0,6,legitimate
24,10,0,1,0,0,0,6,legitimate
28,12,0,1,0,0,0,8,legitimate
20,7,0,1,0,0,0,5,legitimate
24,11,0,1,0,0,0,5,legitimate
24,11,0,1,0,0,0,5,legitimate
16,8,0,1,0,0,0,0,legitimate
22,9,0,1,0,0,0,5,legitimate
37,15,0,0,1,1,0,15,phishing
28,11,0,1,0,0,0,9,legitimate
24,17,0,0,1,1,3,0,phishing
50,16,0,0,1,1,12,7,phishing
21,14,0,0,1,1,0,0,phishing
49,16,0,0,1,1,10,6,phishing
30,17,0,1,0,0,0,5,legitimate
24,11,0,1,0,0,0,5,legitimate
30,17,0,0,1,1,0,6,phishing
49,14,0,0,1,1,10,8,phishing
24,17,0,0,1,1,0,0,phishing
50,15,0,0,1,1,12,8,phishing
17,10,0,0,0,0,1,0,phishing
53,19,1,0,1,1,10,7,phishing
24,10,0,1,0,0,0,6,legitimate
31,17,0,0,1,1,1,7,phishing
28,15,0,0,1,1,0,6,phishing
25,11,0,1,0,0,0,6,legitimate
32,25,1,0,1,1,0,0,phishing
28,11,0,1,0,0,0,9,legitimate
24,17,0,0,1,1,3,0,phishing
30,17,0,0,1,1,3,6,phishing
22,9,0,1,0,0,0,5,legitimate
27,11,0,1,0,0,0,8,legitimate
61,19,0,0,1,1,11,15,phishing
20,7,0,1,0,0,0,5,legitimate
52,17,0,0,1,1,13,8,phishing
18,10,0,1,0,0,0,0,legitimate
38,16,0,0,1,1,2,15,phishing
18,11,0,0,0,0,1,0,phishing
24,11,0,1,0,0,0,5,legitimate
34,19,0,0,1,1,3,8,phishing
26,19,0,0,1,1,3,0,phishing
23,7,0,1,0,0,0,8,legitimate
23,10,0,1,1,0,0,5,legitimate
54,19,0,0,1,1,9,8,phishing
23,11,0,0,0,0,0,5,legitimate
23,10,0,1,0,0,0,5,legitimate
32,17,0,0,1,1,3,8,phishing
24,11,0,1,0,0,0,5,legitimate
21,7,0,1,0,0,0,6,legitimate
24,17,0,0,1,1,3,0,phishing
29,14,0,0,1,1,0,8,phishing
15,7,0,1,0,0,0,0,legitimate
35,13,2,0,1,0,10,15,phishing
29,16,0,0,1,1,0,6,phishing
25,11,0,1,0,0,0,6,legitimate
23,16,0,0,1,1,0,0,phishing
23,10,0,1,1,0,0,5,legitimate
25,17,0,1,0,0,0,0,legitimate
24,10,0,1,0,0,0,6,legitimate
27,20,0,0,1,1,3,0,phishing
26,19,0,0,1,1,0,0,phishing
28,11,0,1,0,0,0,9,legitimate
23,10,0,1,0,0,0,5,legitimate
36,14,0,0,1,0,0,15,phishing
23,7,0,1,0,0,0,8,legitimate
50,17,0,0,1,1,11,6,phishing
33,19,1,0,1,1,0,7,phishing
22,8,0,1,0,0,0,6,legitimate
26,10,0,1,0,0,0,8,legitimate
19,11,0,1,0,0,0,0,legitimate
22,15,0,0,1,1,0,0,phishing
22,7,0,0,0,0,0,8,legitimate
50,16,0,0,1,1,11,7,phishing
30,16,0,0,1,1,0,7,phishing
25,11,0,1,0,0,0,6,legitimate
25,9,0,1,0,0,0,8,legitimate
30,17,0,1,0,0,0,5,legitimate
22,15,0,0,1,1,0,0,phishing
23,10,0,1,1,0,0,5,legitimate
59,17,0,0,1,1,11,15,phishing
37,23,1,0,1,1,0,7,phishing
23,7,0,1,0,0,0,8,legitimate
28,15,0,0,1,1,0,6,phishing
50,15,0,0,1,1,12,8,phishing
