url_length,domain_length,subdomain_count,has_https,has_suspicious_tokens,special_char_count,digit_count,path_length,label
29,20,1,1,0,1,0,1,phishing
41,33,1,0,0,3,0,1,phishing
44,19,0,1,0,1,4,17,phishing
29,21,1,0,0,0,0,1,phishing
29,20,1,1,0,1,0,1,phishing
38,30,1,0,1,1,0,1,phishing
94,43,1,1,0,1,47,11,phishing
32,14,0,0,0,0,0,11,phishing
27,15,0,0,0,0,0,5,phishing
94,43,1,1,0,1,47,11,phishing
94,43,1,1,0,1,41,11,phishing
46,23,1,0,0,3,1,16,phishing
50,27,1,1,1,2,0,15,phishing
40,32,1,0,0,3,0,1,phishing
27,19,2,0,0,0,0,1,phishing
47,39,1,0,0,5,0,1,phishing
42,34,1,0,0,3,0,1,phishing
41,33,1,0,0,3,0,1,phishing
31,16,1,0,0,0,3,8,phishing
50,22,1,1,0,0,0,20,phishing
48,22,1,0,0,0,0,19,phishing
40,32,1,0,0,3,0,1,phishing
23,15,0,0,0,0,0,1,phishing
31,11,0,0,0,0,3,13,phishing
52,32,1,1,1,1,14,12,phishing
38,17,1,0,0,1,1,14,phishing
43,22,1,1,0,0,2,13,phishing
46,38,1,0,1,4,0,1,phishing
42,34,1,0,0,3,0,1,phishing
32,24,1,0,1,1,0,1,phishing
24,15,1,1,0,0,0,1,phishing
70,42,1,1,0,5,0,20,phishing
44,25,1,0,0,4,0,12,phishing
42,19,1,1,1,2,0,15,phishing
43,22,1,1,0,1,4,13,phishing
61,43,1,0,0,1,25,11,phishing
30,22,1,0,0,0,0,1,phishing
50,42,1,0,1,4,0,1,phishing
30,22,1,0,0,0,0,1,phishing
58,20,1,1,0,0,0,30,phishing
56,30,3,0,0,0,6,19,phishing
41,20,1,1,0,2,0,13,phishing
19,10,0,1,0,0,2,1,phishing
45,13,1,1,0,0,10,24,phishing
95,17,1,1,0,7,11,57,phishing
36,28,2,0,0,2,3,1,phishing
27,18,0,1,0,1,2,1,phishing
51,17,2,1,0,0,10,26,phishing
42,23,4,0,0,0,11,12,phishing
52,43,1,1,0,0,0,1,phishing
46,23,1,0,0,2,0,16,phishing
47,13,1,1,0,0,10,26,phishing
40,32,1,0,0,2,0,1,phishing
61,53,1,0,0,3,4,1,phishing
40,32,1,0,0,3,0,1,phishing
41,33,1,0,0,0,3,1,phishing
31,23,1,0,0,0,1,1,phishing
52,19,0,1,0,3,0,25,phishing
34,17,1,1,0,0,1,9,phishing
40,16,1,1,0,0,1,16,phishing
51,16,0,0,0,1,0,28,phishing
49,41,1,0,1,4,0,1,phishing
26,14,0,1,0,0,1,1,phishing
30,22,1,0,0,0,0,1,phishing
41,14,0,1,0,0,0,19,phishing
33,25,2,0,0,1,5,1,phishing
43,35,1,0,0,2,0,1,phishing
23,15,1,0,0,0,0,1,phishing
31,23,1,0,1,0,0,1,phishing
52,33,1,1,0,0,4,11,phishing
35,27,1,0,1,0,0,1,phishing
37,28,1,1,1,3,0,1,phishing
40,21,0,1,0,1,12,11,phishing
33,25,1,0,1,2,0,1,phishing
77,68,1,1,0,0,0,1,phishing
45,37,2,0,0,1,0,1,phishing
38,19,1,0,1,1,0,12,phishing
88,14,0,1,0,4,29,66,phishing
42,34,2,0,1,0,0,1,phishing
31,23,2,0,0,0,5,1,phishing
67,33,0,0,0,4,10,27,phishing
51,17,0,0,1,1,10,6,phishing
71,33,1,1,0,2,20,30,phishing
22,14,1,0,0,0,5,1,phishing
103,43,1,0,0,1,21,53,phishing
76,28,1,0,1,1,4,41,phishing
78,28,1,1,1,1,0,42,phishing
78,28,1,1,1,1,3,42,phishing
78,28,1,1,1,1,8,42,phishing
76,28,1,0,1,1,4,41,phishing
78,28,1,1,1,1,4,42,phishing
78,28,1,1,1,1,4,42,phishing
97,27,1,0,0,6,24,26,phishing
101,27,1,0,1,4,30,60,phishing
84,14,0,0,0,6,24,26,phishing
81,14,0,0,1,4,29,60,phishing
38,19,1,1,0,0,2,11,phishing
76,28,1,0,1,1,4,41,phishing
42,34,1,0,0,3,0,1,phishing
38,21,1,1,0,0,0,9,phishing
38,30,1,0,1,0,0,1,phishing
31,23,1,0,0,0,0,1,phishing
869,47,1,1,1,30,165,29,phishing
64,47,1,1,1,0,24,9,phishing
32,24,1,0,1,0,0,1,phishing
38,30,1,0,0,2,0,1,phishing
76,28,1,0,1,1,4,41,phishing
148,27,1,1,1,0,20,113,phishing
45,13,1,1,0,0,10,24,phishing
23,15,1,0,0,1,0,1,phishing
125,7,0,1,0,6,11,110,phishing
